OBJECTID,GEOID,Block,Block_Group,Census_Tract,County,State,Total,Hispanic_or_Latino,Not_Hispanic,Population_of_One_Race,White_Alone,Black_Alone,Some_other_race_alone,Population_of_two_or_more_ra_14
-1,131210007002000.000000000000000,Block 2000, Block Group 2, Census Tract 7, Fulton County, Georgia,2553,93,2460,2458,204,2246,0,2
-1,131210035002037.000000000000000,Block 2037, Block Group 2, Census Tract 35, Fulton County, Georgia,2425,547,1878,1877,439,1407,13,1
-1,131210076042000.000000000000000,Block 2000, Block Group 2, Census Tract 76.04, Fulton County, Georgia,2368,17,2351,2331,17,2314,0,20
-1,131210028011010.000000000000000,Block 1010, Block Group 1, Census Tract 28.01, Fulton County, Georgia,2082,132,1950,1880,415,1247,11,70
-1,131210116181000.000000000000000,Block 1000, Block Group 1, Census Tract 116.18, Fulton County, Georgia,2024,246,1778,1731,876,272,20,47
-1,131210114321001.000000000000000,Block 1001, Block Group 1, Census Tract 114.32, Fulton County, Georgia,1976,587,1389,1302,540,616,15,87
-1,131210068011001.000000000000000,Block 1001, Block Group 1, Census Tract 68.01, Fulton County, Georgia,1950,310,1640,1638,415,1209,0,2
-1,131210114244001.000000000000000,Block 4001, Block Group 4, Census Tract 114.24, Fulton County, Georgia,1944,128,1816,1752,1162,213,0,64
-1,131210116561000.000000000000000,Block 1000, Block Group 1, Census Tract 116.56, Fulton County, Georgia,1886,112,1774,1689,1082,87,30,85
-1,131210019011000.000000000000000,Block 1000, Block Group 1, Census Tract 19.01, Fulton County, Georgia,1864,109,1755,1644,1446,62,16,111
-1,131210100062004.000000000000000,Block 2004, Block Group 2, Census Tract 100.06, Fulton County, Georgia,1836,132,1704,1648,988,451,19,56
-1,131210116273000.000000000000000,Block 3000, Block Group 3, Census Tract 116.27, Fulton County, Georgia,1777,107,1670,1646,509,238,28,24
-1,131210101294000.000000000000000,Block 4000, Block Group 4, Census Tract 101.29, Fulton County, Georgia,1716,595,1121,1077,623,353,9,44
-1,131210101371000.000000000000000,Block 1000, Block Group 1, Census Tract 101.37, Fulton County, Georgia,1671,162,1509,1458,1145,206,22,51
-1,131210113092002.000000000000000,Block 2002, Block Group 2, Census Tract 113.09, Fulton County, Georgia,1670,37,1633,1615,68,1532,9,18
-1,131210102161000.000000000000000,Block 1000, Block Group 1, Census Tract 102.16, Fulton County, Georgia,1647,270,1377,1328,674,505,12,49
-1,131210114294000.000000000000000,Block 4000, Block Group 4, Census Tract 114.29, Fulton County, Georgia,1629,148,1481,1401,1010,134,5,80
-1,131210114401000.000000000000000,Block 1000, Block Group 1, Census Tract 114.40, Fulton County, Georgia,1624,99,1525,1476,1053,268,10,49
-1,131210116532000.000000000000000,Block 2000, Block Group 2, Census Tract 116.53, Fulton County, Georgia,1598,69,1529,1477,1021,177,10,52
-1,131210081032001.000000000000000,Block 2001, Block Group 2, Census Tract 81.03, Fulton County, Georgia,1575,39,1536,1521,10,1507,3,15
-1,131210116502000.000000000000000,Block 2000, Block Group 2, Census Tract 116.50, Fulton County, Georgia,1547,69,1478,1434,369,147,17,44
-1,131210096012001.000000000000000,Block 2001, Block Group 2, Census Tract 96.01, Fulton County, Georgia,1533,128,1405,1357,897,323,21,48
-1,131210116241000.000000000000000,Block 1000, Block Group 1, Census Tract 116.24, Fulton County, Georgia,1520,81,1439,1382,825,132,0,57
-1,131210100061000.000000000000000,Block 1000, Block Group 1, Census Tract 100.06, Fulton County, Georgia,1487,95,1392,1314,891,266,6,78
-1,131210116453002.000000000000000,Block 3002, Block Group 3, Census Tract 116.45, Fulton County, Georgia,1474,108,1366,1312,725,243,8,54
-1,131210114431000.000000000000000,Block 1000, Block Group 1, Census Tract 114.43, Fulton County, Georgia,1472,49,1423,1392,1035,40,5,31
-1,131210102122000.000000000000000,Block 2000, Block Group 2, Census Tract 102.12, Fulton County, Georgia,1462,1354,108,99,36,45,1,9
-1,131210077081001.000000000000000,Block 1001, Block Group 1, Census Tract 77.08, Fulton County, Georgia,1446,18,1428,1399,2,1397,0,29
-1,131210105223001.000000000000000,Block 3001, Block Group 3, Census Tract 105.22, Fulton County, Georgia,1435,28,1407,1397,11,1356,3,10
-1,131210010022007.000000000000000,Block 2007, Block Group 2, Census Tract 10.02, Fulton County, Georgia,1433,98,1335,1289,1124,57,0,46
-1,131210078103005.000000000000000,Block 3005, Block Group 3, Census Tract 78.10, Fulton County, Georgia,1398,10,1388,1372,5,1359,4,16
-1,131210103112005.000000000000000,Block 2005, Block Group 2, Census Tract 103.11, Fulton County, Georgia,1391,21,1370,1349,8,1341,0,21
-1,131210116302000.000000000000000,Block 2000, Block Group 2, Census Tract 116.30, Fulton County, Georgia,1368,139,1229,1183,693,186,8,46
-1,131210096041002.000000000000000,Block 1002, Block Group 1, Census Tract 96.04, Fulton County, Georgia,1349,160,1189,1162,834,230,9,27
-1,131210078081010.000000000000000,Block 1010, Block Group 1, Census Tract 78.08, Fulton County, Georgia,1344,0,1344,1325,0,1323,0,19
-1,131210010022015.000000000000000,Block 2015, Block Group 2, Census Tract 10.02, Fulton County, Georgia,1332,86,1246,1197,1046,26,4,49
-1,131210095042002.000000000000000,Block 2002, Block Group 2, Census Tract 95.04, Fulton County, Georgia,1313,107,1206,1146,747,334,2,60
-1,131210091061003.000000000000000,Block 1003, Block Group 1, Census Tract 91.06, Fulton County, Georgia,1311,143,1168,1105,585,415,9,63
-1,131210073012000.000000000000000,Block 2000, Block Group 2, Census Tract 73.01, Fulton County, Georgia,1302,35,1267,1258,4,1250,3,9
-1,131210105341001.000000000000000,Block 1001, Block Group 1, Census Tract 105.34, Fulton County, Georgia,1297,62,1235,1228,118,1075,3,7
-1,131210114211002.000000000000000,Block 1002, Block Group 1, Census Tract 114.21, Fulton County, Georgia,1275,564,711,682,222,436,9,29
-1,131210114384001.000000000000000,Block 4001, Block Group 4, Census Tract 114.38, Fulton County, Georgia,1272,464,808,768,345,349,11,40
-1,131210114173003.000000000000000,Block 3003, Block Group 3, Census Tract 114.17, Fulton County, Georgia,1264,83,1181,1134,938,94,7,47
